"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Black or African American"	"2054-5"	"Male"	"M"	"65-74 years"	"65-74"	"2020 "	"2020"	58206	1414074	4116.2
	"Black or African American"	"2054-5"	"Male"	"M"	"75-84 years"	"75-84"	"1999"	"1999"	27552	319804	8615.3
	"Black or African American"	"2054-5"	"Male"	"M"	"75-84 years"	"75-84"	"2000"	"2000"	27715	324113	8551.0
	"Black or African American"	"2054-5"	"Male"	"M"	"75-84 years"	"75-84"	"2001"	"2001"	28083	333959	8409.1
	"Black or African American"	"2054-5"	"Male"	"M"	"75-84 years"	"75-84"	"2002"	"2002"	28137	340511	8263.2
	"Black or African American"	"2054-5"	"Male"	"M"	"75-84 years"	"75-84"	"2003"	"2003"	28297	346280	8171.7
	"Black or African American"	"2054-5"	"Male"	"M"	"75-84 years"	"75-84"	"2004"	"2004"	27394	350408	7817.7
	"Black or African American"	"2054-5"	"Male"	"M"	"75-84 years"	"75-84"	"2005"	"2005"	27723	356720	7771.6
	"Black or African American"	"2054-5"	"Male"	"M"	"75-84 years"	"75-84"	"2006"	"2006"	27045	360587	7500.3
	"Black or African American"	"2054-5"	"Male"	"M"	"75-84 years"	"75-84"	"2007"	"2007"	26523	365308	7260.4
	"Black or African American"	"2054-5"	"Male"	"M"	"75-84 years"	"75-84"	"2008"	"2008"	26761	371432	7204.8
	"Black or African American"	"2054-5"	"Male"	"M"	"75-84 years"	"75-84"	"2009"	"2009"	25790	376758	6845.2
	"Black or African American"	"2054-5"	"Male"	"M"	"75-84 years"	"75-84"	"2010"	"2010"	26281	383717	6849.1
	"Black or African American"	"2054-5"	"Male"	"M"	"75-84 years"	"75-84"	"2011"	"2011"	26061	401034	6498.5
	"Black or African American"	"2054-5"	"Male"	"M"	"75-84 years"	"75-84"	"2012"	"2012"	26856	410007	6550.1
	"Black or African American"	"2054-5"	"Male"	"M"	"75-84 years"	"75-84"	"2013"	"2013"	27582	424246	6501.4
	"Black or African American"	"2054-5"	"Male"	"M"	"75-84 years"	"75-84"	"2014"	"2014"	27672	440085	6287.9
	"Black or African American"	"2054-5"	"Male"	"M"	"75-84 years"	"75-84"	"2015"	"2015"	28940	456068	6345.5
	"Black or African American"	"2054-5"	"Male"	"M"	"75-84 years"	"75-84"	"2016"	"2016"	29653	472359	6277.6
	"Black or African American"	"2054-5"	"Male"	"M"	"75-84 years"	"75-84"	"2017"	"2017"	30739	491956	6248.3
	"Black or African American"	"2054-5"	"Male"	"M"	"75-84 years"	"75-84"	"2018"	"2018"	32147	513623	6258.9
	"Black or African American"	"2054-5"	"Male"	"M"	"75-84 years"	"75-84"	"2019"	"2019"	32542	537651	6052.6
	"Black or African American"	"2054-5"	"Male"	"M"	"75-84 years"	"75-84"	"2020 "	"2020"	43220	557153	7757.3
	"Black or African American"	"2054-5"	"Male"	"M"	"85+ years"	"85+"	"1999"	"1999"	14628	84140	17385.3
	"Black or African American"	"2054-5"	"Male"	"M"	"85+ years"	"85+"	"2000"	"2000"	14431	85165	16944.8
	"Black or African American"	"2054-5"	"Male"	"M"	"85+ years"	"85+"	"2001"	"2001"	14352	82735	17347.0
	"Black or African American"	"2054-5"	"Male"	"M"	"85+ years"	"85+"	"2002"	"2002"	14422	81399	17717.7
	"Black or African American"	"2054-5"	"Male"	"M"	"85+ years"	"85+"	"2003"	"2003"	14156	81395	17391.7
	"Black or African American"	"2054-5"	"Male"	"M"	"85+ years"	"85+"	"2004"	"2004"	14415	82755	17418.9
	"Black or African American"	"2054-5"	"Male"	"M"	"85+ years"	"85+"	"2005"	"2005"	14690	86445	16993.5
	"Black or African American"	"2054-5"	"Male"	"M"	"85+ years"	"85+"	"2006"	"2006"	14628	89393	16363.7
	"Black or African American"	"2054-5"	"Male"	"M"	"85+ years"	"85+"	"2007"	"2007"	15115	93512	16163.7
	"Black or African American"	"2054-5"	"Male"	"M"	"85+ years"	"85+"	"2008"	"2008"	15336	98066	15638.4
	"Black or African American"	"2054-5"	"Male"	"M"	"85+ years"	"85+"	"2009"	"2009"	15289	103138	14823.8
	"Black or African American"	"2054-5"	"Male"	"M"	"85+ years"	"85+"	"2010"	"2010"	16055	107218	14974.2
	"Black or African American"	"2054-5"	"Male"	"M"	"85+ years"	"85+"	"2011"	"2011"	16098	110893	14516.7
	"Black or African American"	"2054-5"	"Male"	"M"	"85+ years"	"85+"	"2012"	"2012"	16766	119700	14006.7
	"Black or African American"	"2054-5"	"Male"	"M"	"85+ years"	"85+"	"2013"	"2013"	17477	125196	13959.7
	"Black or African American"	"2054-5"	"Male"	"M"	"85+ years"	"85+"	"2014"	"2014"	17810	131605	13532.9
	"Black or African American"	"2054-5"	"Male"	"M"	"85+ years"	"85+"	"2015"	"2015"	18325	137328	13344.0
	"Black or African American"	"2054-5"	"Male"	"M"	"85+ years"	"85+"	"2016"	"2016"	18901	141899	13320.0
	"Black or African American"	"2054-5"	"Male"	"M"	"85+ years"	"85+"	"2017"	"2017"	19462	147833	13164.9
	"Black or African American"	"2054-5"	"Male"	"M"	"85+ years"	"85+"	"2018"	"2018"	20161	153453	13138.2
	"Black or African American"	"2054-5"	"Male"	"M"	"85+ years"	"85+"	"2019"	"2019"	20476	158499	12918.7
	"Black or African American"	"2054-5"	"Male"	"M"	"85+ years"	"85+"	"2020 "	"2020"	26725	163597	16335.9
	"Black or African American"	"2054-5"	"Male"	"M"	"Not Stated"	"NS"	"1999"	"1999"	42	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"Not Stated"	"NS"	"2000"	"2000"	35	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"Not Stated"	"NS"	"2001"	"2001"	40	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"Not Stated"	"NS"	"2002"	"2002"	29	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"Not Stated"	"NS"	"2003"	"2003"	17	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"Not Stated"	"NS"	"2004"	"2004"	25	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"Not Stated"	"NS"	"2005"	"2005"	24	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"Not Stated"	"NS"	"2006"	"2006"	11	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"Not Stated"	"NS"	"2007"	"2007"	18	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"Not Stated"	"NS"	"2008"	"2008"	14	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"Not Stated"	"NS"	"2009"	"2009"	16	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"Not Stated"	"NS"	"2010"	"2010"	15	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"Not Stated"	"NS"	"2011"	"2011"	16	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"Not Stated"	"NS"	"2012"	"2012"	21	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"Not Stated"	"NS"	"2013"	"2013"	13	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"Not Stated"	"NS"	"2014"	"2014"	16	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"Not Stated"	"NS"	"2015"	"2015"	12	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"Not Stated"	"NS"	"2016"	"2016"	Suppressed	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"Not Stated"	"NS"	"2017"	"2017"	10	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"Not Stated"	"NS"	"2018"	"2018"	11	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"Not Stated"	"NS"	"2019"	"2019"	11	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"Not Stated"	"NS"	"2020 "	"2020"	Suppressed	Not Applicable	Not Applicable
	"White"	"2106-3"	"Female"	"F"	"< 1 year"	"1"	"1999"	"1999"	5835	1112288	524.6
	"White"	"2106-3"	"Female"	"F"	"< 1 year"	"1"	"2000"	"2000"	5853	1102471	530.9
	"White"	"2106-3"	"Female"	"F"	"< 1 year"	"1"	"2001"	"2001"	5803	1130915	513.1
	"White"	"2106-3"	"Female"	"F"	"< 1 year"	"1"	"2002"	"2002"	5757	1098967	523.9
	"White"	"2106-3"	"Female"	"F"	"< 1 year"	"1"	"2003"	"2003"	5632	1097359	513.2
	"White"	"2106-3"	"Female"	"F"	"< 1 year"	"1"	"2004"	"2004"	5647	1097641	514.5
	"White"	"2106-3"	"Female"	"F"	"< 1 year"	"1"	"2005"	"2005"	5608	1073760	522.3
	"White"	"2106-3"	"Female"	"F"	"< 1 year"	"1"	"2006"	"2006"	5622	1067466	526.7
	"White"	"2106-3"	"Female"	"F"	"< 1 year"	"1"	"2007"	"2007"	5658	1077101	525.3
	"White"	"2106-3"	"Female"	"F"	"< 1 year"	"1"	"2008"	"2008"	5497	1065232	516.0
	"White"	"2106-3"	"Female"	"F"	"< 1 year"	"1"	"2009"	"2009"	5078	1027561	494.2
	"White"	"2106-3"	"Female"	"F"	"< 1 year"	"1"	"2010"	"2010"	4881	1015973	480.4
	"White"	"2106-3"	"Female"	"F"	"< 1 year"	"1"	"2011"	"2011"	4760	1015784	468.6
	"White"	"2106-3"	"Female"	"F"	"< 1 year"	"1"	"2012"	"2012"	4715	1004886	469.2
	"White"	"2106-3"	"Female"	"F"	"< 1 year"	"1"	"2013"	"2013"	4518	1007308	448.5
	"White"	"2106-3"	"Female"	"F"	"< 1 year"	"1"	"2014"	"2014"	4540	1006751	451.0
	"White"	"2106-3"	"Female"	"F"	"< 1 year"	"1"	"2015"	"2015"	4519	1013973	445.7
	"White"	"2106-3"	"Female"	"F"	"< 1 year"	"1"	"2016"	"2016"	4424	1008535	438.7
	"White"	"2106-3"	"Female"	"F"	"< 1 year"	"1"	"2017"	"2017"	4078	995944	409.5
	"White"	"2106-3"	"Female"	"F"	"< 1 year"	"1"	"2018"	"2018"	4047	973081	415.9
	"White"	"2106-3"	"Female"	"F"	"< 1 year"	"1"	"2019"	"2019"	3786	962496	393.4
	"White"	"2106-3"	"Female"	"F"	"< 1 year"	"1"	"2020 "	"2020"	3683	929733	396.1
	"White"	"2106-3"	"Female"	"F"	"1-4 years"	"1-4"	"1999"	"1999"	1214	4554964	26.7
	"White"	"2106-3"	"Female"	"F"	"1-4 years"	"1-4"	"2000"	"2000"	1100	4517213	24.4
	"White"	"2106-3"	"Female"	"F"	"1-4 years"	"1-4"	"2001"	"2001"	1180	4441775	26.6
	"White"	"2106-3"	"Female"	"F"	"1-4 years"	"1-4"	"2002"	"2002"	1071	4437524	24.1
	"White"	"2106-3"	"Female"	"F"	"1-4 years"	"1-4"	"2003"	"2003"	1116	4416942	25.3
	"White"	"2106-3"	"Female"	"F"	"1-4 years"	"1-4"	"2004"	"2004"	1093	4399836	24.8
	"White"	"2106-3"	"Female"	"F"	"1-4 years"	"1-4"	"2005"	"2005"	996	4387980	22.7
	"White"	"2106-3"	"Female"	"F"	"1-4 years"	"1-4"	"2006"	"2006"	1032	4332227	23.8
	"White"	"2106-3"	"Female"	"F"	"1-4 years"	"1-4"	"2007"	"2007"	1009	4301897	23.5
	"White"	"2106-3"	"Female"	"F"	"1-4 years"	"1-4"	"2008"	"2008"	1008	4282547	23.5
	"White"	"2106-3"	"Female"	"F"	"1-4 years"	"1-4"	"2009"	"2009"	919	4250343	21.6
	"White"	"2106-3"	"Female"	"F"	"1-4 years"	"1-4"	"2010"	"2010"	920	4225342	21.8
	"White"	"2106-3"	"Female"	"F"	"1-4 years"	"1-4"	"2011"	"2011"	878	4158250	21.1
	"White"	"2106-3"	"Female"	"F"	"1-4 years"	"1-4"	"2012"	"2012"	892	4108137	21.7
	"White"	"2106-3"	"Female"	"F"	"1-4 years"	"1-4"	"2013"	"2013"	828	4063264	20.4
	"White"	"2106-3"	"Female"	"F"	"1-4 years"	"1-4"	"2014"	"2014"	816	4047030	20.2
	"White"	"2106-3"	"Female"	"F"	"1-4 years"	"1-4"	"2015"	"2015"	812	4039218	20.1
	"White"	"2106-3"	"Female"	"F"	"1-4 years"	"1-4"	"2016"	"2016"	865	4039145	21.4
	"White"	"2106-3"	"Female"	"F"	"1-4 years"	"1-4"	"2017"	"2017"	751	4036526	18.6
	"White"	"2106-3"	"Female"	"F"	"1-4 years"	"1-4"	"2018"	"2018"	758	4014864	18.9
	"White"	"2106-3"	"Female"	"F"	"1-4 years"	"1-4"	"2019"	"2019"	726	3990933	18.2
	"White"	"2106-3"	"Female"	"F"	"1-4 years"	"1-4"	"2020 "	"2020"	674	3867837	17.4
	"White"	"2106-3"	"Female"	"F"	"5-14 years"	"5-14"	"1999"	"1999"	1845	12585291	14.7
	"White"	"2106-3"	"Female"	"F"	"5-14 years"	"5-14"	"2000"	"2000"	1745	12529045	13.9
	"White"	"2106-3"	"Female"	"F"	"5-14 years"	"5-14"	"2001"	"2001"	1723	12380305	13.9
	"White"	"2106-3"	"Female"	"F"	"5-14 years"	"5-14"	"2002"	"2002"	1666	12243494	13.6
	"White"	"2106-3"	"Female"	"F"	"5-14 years"	"5-14"	"2003"	"2003"	1565	12089416	12.9
	"White"	"2106-3"	"Female"	"F"	"5-14 years"	"5-14"	"2004"	"2004"	1556	11920687	13.1
	"White"	"2106-3"	"Female"	"F"	"5-14 years"	"5-14"	"2005"	"2005"	1518	11719859	13.0
	"White"	"2106-3"	"Female"	"F"	"5-14 years"	"5-14"	"2006"	"2006"	1370	11576775	11.8
	"White"	"2106-3"	"Female"	"F"	"5-14 years"	"5-14"	"2007"	"2007"	1417	11439003	12.4
	"White"	"2106-3"	"Female"	"F"	"5-14 years"	"5-14"	"2008"	"2008"	1264	11339612	11.1
	"White"	"2106-3"	"Female"	"F"	"5-14 years"	"5-14"	"2009"	"2009"	1183	11274800	10.5
	"White"	"2106-3"	"Female"	"F"	"5-14 years"	"5-14"	"2010"	"2010"	1219	11219256	10.9
	"White"	"2106-3"	"Female"	"F"	"5-14 years"	"5-14"	"2011"	"2011"	1181	11108213	10.6
	"White"	"2106-3"	"Female"	"F"	"5-14 years"	"5-14"	"2012"	"2012"	1119	11034997	10.1
	"White"	"2106-3"	"Female"	"F"	"5-14 years"	"5-14"	"2013"	"2013"	1167	10957989	10.6
	"White"	"2106-3"	"Female"	"F"	"5-14 years"	"5-14"	"2014"	"2014"	1064	10851878	9.8
	"White"	"2106-3"	"Female"	"F"	"5-14 years"	"5-14"	"2015"	"2015"	1201	10735311	11.2
	"White"	"2106-3"	"Female"	"F"	"5-14 years"	"5-14"	"2016"	"2016"	1156	10634854	10.9
	"White"	"2106-3"	"Female"	"F"	"5-14 years"	"5-14"	"2017"	"2017"	1154	10553427	10.9
	"White"	"2106-3"	"Female"	"F"	"5-14 years"	"5-14"	"2018"	"2018"	1100	10477492	10.5
	"White"	"2106-3"	"Female"	"F"	"5-14 years"	"5-14"	"2019"	"2019"	1132	10415689	10.9
	"White"	"2106-3"	"Female"	"F"	"5-14 years"	"5-14"	"2020 "	"2020"	1049	10349071	10.1
	"White"	"2106-3"	"Female"	"F"	"15-24 years"	"15-24"	"1999"	"1999"	5191	12112545	42.9
	"White"	"2106-3"	"Female"	"F"	"15-24 years"	"15-24"	"2000"	"2000"	5195	12183374	42.6
	"White"	"2106-3"	"Female"	"F"	"15-24 years"	"15-24"	"2001"	"2001"	5188	12410190	41.8
	"White"	"2106-3"	"Female"	"F"	"15-24 years"	"15-24"	"2002"	"2002"	5501	12531301	43.9
	"White"	"2106-3"	"Female"	"F"	"15-24 years"	"15-24"	"2003"	"2003"	5618	12623903	44.5
	"White"	"2106-3"	"Female"	"F"	"15-24 years"	"15-24"	"2004"	"2004"	5667	12691493	44.7
	"White"	"2106-3"	"Female"	"F"	"15-24 years"	"15-24"	"2005"	"2005"	5416	12719326	42.6
	"White"	"2106-3"	"Female"	"F"	"15-24 years"	"15-24"	"2006"	"2006"	5502	12699782	43.3
	"White"	"2106-3"	"Female"	"F"	"15-24 years"	"15-24"	"2007"	"2007"	5478	12665950	43.2
	"White"	"2106-3"	"Female"	"F"	"15-24 years"	"15-24"	"2008"	"2008"	4985	12603043	39.6
	"White"	"2106-3"	"Female"	"F"	"15-24 years"	"15-24"	"2009"	"2009"	4832	12521165	38.6
	"White"	"2106-3"	"Female"	"F"	"15-24 years"	"15-24"	"2010"	"2010"	4768	12426457	38.4
	"White"	"2106-3"	"Female"	"F"	"15-24 years"	"15-24"	"2011"	"2011"	4739	12346159	38.4
	"White"	"2106-3"	"Female"	"F"	"15-24 years"	"15-24"	"2012"	"2012"	4649	12286437	37.8
	"White"	"2106-3"	"Female"	"F"	"15-24 years"	"15-24"	"2013"	"2013"	4631	12194196	38.0
	"White"	"2106-3"	"Female"	"F"	"15-24 years"	"15-24"	"2014"	"2014"	4532	12082995	37.5
	"White"	"2106-3"	"Female"	"F"	"15-24 years"	"15-24"	"2015"	"2015"	4783	11935747	40.1
	"White"	"2106-3"	"Female"	"F"	"15-24 years"	"15-24"	"2016"	"2016"	4870	11763770	41.4
	"White"	"2106-3"	"Female"	"F"	"15-24 years"	"15-24"	"2017"	"2017"	4922	11586708	42.5
	"White"	"2106-3"	"Female"	"F"	"15-24 years"	"15-24"	"2018"	"2018"	4693	11464424	40.9
	"White"	"2106-3"	"Female"	"F"	"15-24 years"	"15-24"	"2019"	"2019"	4359	11351968	38.4
	"White"	"2106-3"	"Female"	"F"	"15-24 years"	"15-24"	"2020 "	"2020"	4713	11261875	41.8
	"White"	"2106-3"	"Female"	"F"	"25-34 years"	"25-34"	"1999"	"1999"	7537	13048454	57.8
	"White"	"2106-3"	"Female"	"F"	"25-34 years"	"25-34"	"2000"	"2000"	7257	12777534	56.8
	"White"	"2106-3"	"Female"	"F"	"25-34 years"	"25-34"	"2001"	"2001"	7578	12410000	61.1
	"White"	"2106-3"	"Female"	"F"	"25-34 years"	"25-34"	"2002"	"2002"	7419	12199475	60.8
	"White"	"2106-3"	"Female"	"F"	"25-34 years"	"25-34"	"2003"	"2003"	7460	12041971	61.9
	"White"	"2106-3"	"Female"	"F"	"25-34 years"	"25-34"	"2004"	"2004"	7299	11905261	61.3
	"White"	"2106-3"	"Female"	"F"	"25-34 years"	"25-34"	"2005"	"2005"	7460	11779944	63.3
	"White"	"2106-3"	"Female"	"F"	"25-34 years"	"25-34"	"2006"	"2006"	7491	11702904	64.0
	"White"	"2106-3"	"Female"	"F"	"25-34 years"	"25-34"	"2007"	"2007"	7619	11712593	65.0
	"White"	"2106-3"	"Female"	"F"	"25-34 years"	"25-34"	"2008"	"2008"	7522	11797766	63.8
	"White"	"2106-3"	"Female"	"F"	"25-34 years"	"25-34"	"2009"	"2009"	8038	11903782	67.5
	"White"	"2106-3"	"Female"	"F"	"25-34 years"	"25-34"	"2010"	"2010"	8003	11972057	66.8
	"White"	"2106-3"	"Female"	"F"	"25-34 years"	"25-34"	"2011"	"2011"	8463	12154021	69.6
	"White"	"2106-3"	"Female"	"F"	"25-34 years"	"25-34"	"2012"	"2012"	8660	12253990	70.7
	"White"	"2106-3"	"Female"	"F"	"25-34 years"	"25-34"	"2013"	"2013"	8679	12357957	70.2
	"White"	"2106-3"	"Female"	"F"	"25-34 years"	"25-34"	"2014"	"2014"	9124	12460150	73.2
	"White"	"2106-3"	"Female"	"F"	"25-34 years"	"25-34"	"2015"	"2015"	9896	12550969	78.8
	"White"	"2106-3"	"Female"	"F"	"25-34 years"	"25-34"	"2016"	"2016"	10929	12632689	86.5
	"White"	"2106-3"	"Female"	"F"	"25-34 years"	"25-34"	"2017"	"2017"	11404	12644541	90.2
	"White"	"2106-3"	"Female"	"F"	"25-34 years"	"25-34"	"2018"	"2018"	11063	12626506	87.6
	"White"	"2106-3"	"Female"	"F"	"25-34 years"	"25-34"	"2019"	"2019"	10798	12603520	85.7
	"White"	"2106-3"	"Female"	"F"	"25-34 years"	"25-34"	"2020 "	"2020"	12275	12555933	97.8
	"White"	"2106-3"	"Female"	"F"	"35-44 years"	"35-44"	"1999"	"1999"	20339	16199105	125.6
	"White"	"2106-3"	"Female"	"F"	"35-44 years"	"35-44"	"2000"	"2000"	20609	16089038	128.1
	"White"	"2106-3"	"Female"	"F"	"35-44 years"	"35-44"	"2001"	"2001"	21333	15825658	134.8
	"White"	"2106-3"	"Female"	"F"	"35-44 years"	"35-44"	"2002"	"2002"	21480	15497239	138.6
	"White"	"2106-3"	"Female"	"F"	"35-44 years"	"35-44"	"2003"	"2003"	20972	15133629	138.6
	"White"	"2106-3"	"Female"	"F"	"35-44 years"	"35-44"	"2004"	"2004"	20290	14817415	136.9
	"White"	"2106-3"	"Female"	"F"	"35-44 years"	"35-44"	"2005"	"2005"	20067	14529936	138.1
	"White"	"2106-3"	"Female"	"F"	"35-44 years"	"35-44"	"2006"	"2006"	19589	14229546	137.7
	"White"	"2106-3"	"Female"	"F"	"35-44 years"	"35-44"	"2007"	"2007"	18827	13860838	135.8
	"White"	"2106-3"	"Female"	"F"	"35-44 years"	"35-44"	"2008"	"2008"	18281	13436428	136.1
	"White"	"2106-3"	"Female"	"F"	"35-44 years"	"35-44"	"2009"	"2009"	17902	12997405	137.7
	"White"	"2106-3"	"Female"	"F"	"35-44 years"	"35-44"	"2010"	"2010"	16929	12718235	133.1
	"White"	"2106-3"	"Female"	"F"	"35-44 years"	"35-44"	"2011"	"2011"	16928	12388507	136.6
	"White"	"2106-3"	"Female"	"F"	"35-44 years"	"35-44"	"2012"	"2012"	16604	12209836	136.0
	"White"	"2106-3"	"Female"	"F"	"35-44 years"	"35-44"	"2013"	"2013"	16734	12072552	138.6
	"White"	"2106-3"	"Female"	"F"	"35-44 years"	"35-44"	"2014"	"2014"	17152	11927012	143.8
	"White"	"2106-3"	"Female"	"F"	"35-44 years"	"35-44"	"2015"	"2015"	17200	11806142	145.7
	"White"	"2106-3"	"Female"	"F"	"35-44 years"	"35-44"	"2016"	"2016"	17887	11695817	152.9
	"White"	"2106-3"	"Female"	"F"	"35-44 years"	"35-44"	"2017"	"2017"	18122	11700616	154.9
	"White"	"2106-3"	"Female"	"F"	"35-44 years"	"35-44"	"2018"	"2018"	17877	11786558	151.7
	"White"	"2106-3"	"Female"	"F"	"35-44 years"	"35-44"	"2019"	"2019"	17901	11880517	150.7
	"White"	"2106-3"	"Female"	"F"	"35-44 years"	"35-44"	"2020 "	"2020"	20945	12004382	174.5
	"White"	"2106-3"	"Female"	"F"	"45-54 years"	"45-54"	"1999"	"1999"	39657	14112467	281.0
	"White"	"2106-3"	"Female"	"F"	"45-54 years"	"45-54"	"2000"	"2000"	41176	14446309	285.0
	"White"	"2106-3"	"Female"	"F"	"45-54 years"	"45-54"	"2001"	"2001"	43355	14981593	289.4
	"White"	"2106-3"	"Female"	"F"	"45-54 years"	"45-54"	"2002"	"2002"	44088	15057598	292.8
	"White"	"2106-3"	"Female"	"F"	"45-54 years"	"45-54"	"2003"	"2003"	44726	15250861	293.3
	"White"	"2106-3"	"Female"	"F"	"45-54 years"	"45-54"	"2004"	"2004"	45296	15435849	293.4
	"White"	"2106-3"	"Female"	"F"	"45-54 years"	"45-54"	"2005"	"2005"	46809	15632708	299.4
	"White"	"2106-3"	"Female"	"F"	"45-54 years"	"45-54"	"2006"	"2006"	47542	15803164	300.8
	"White"	"2106-3"	"Female"	"F"	"45-54 years"	"45-54"	"2007"	"2007"	47967	15902406	301.6
	"White"	"2106-3"	"Female"	"F"	"45-54 years"	"45-54"	"2008"	"2008"	49092	15937153	308.0
	"White"	"2106-3"	"Female"	"F"	"45-54 years"	"45-54"	"2009"	"2009"	49913	15919221	313.5
	"White"	"2106-3"	"Female"	"F"	"45-54 years"	"45-54"	"2010"	"2010"	48739	15839099	307.7
	"White"	"2106-3"	"Female"	"F"	"45-54 years"	"45-54"	"2011"	"2011"	49371	15535056	317.8
	"White"	"2106-3"	"Female"	"F"	"45-54 years"	"45-54"	"2012"	"2012"	47935	15207982	315.2
	"White"	"2106-3"	"Female"	"F"	"45-54 years"	"45-54"	"2013"	"2013"	47573	14843650	320.5
	"White"	"2106-3"	"Female"	"F"	"45-54 years"	"45-54"	"2014"	"2014"	47268	14522228	325.5
	"White"	"2106-3"	"Female"	"F"	"45-54 years"	"45-54"	"2015"	"2015"	46667	14242059	327.7
	"White"	"2106-3"	"Female"	"F"	"45-54 years"	"45-54"	"2016"	"2016"	45663	13942468	327.5
	"White"	"2106-3"	"Female"	"F"	"45-54 years"	"45-54"	"2017"	"2017"	43984	13577849	323.9
	"White"	"2106-3"	"Female"	"F"	"45-54 years"	"45-54"	"2018"	"2018"	41782	13153739	317.6
	"White"	"2106-3"	"Female"	"F"	"45-54 years"	"45-54"	"2019"	"2019"	39592	12734557	310.9
	"White"	"2106-3"	"Female"	"F"	"45-54 years"	"45-54"	"2020 "	"2020"	43237	12415181	348.3
	"White"	"2106-3"	"Female"	"F"	"55-64 years"	"55-64"	"1999"	"1999"	72101	9721783	741.6
	"White"	"2106-3"	"Female"	"F"	"55-64 years"	"55-64"	"2000"	"2000"	73317	9879258	742.1
	"White"	"2106-3"	"Female"	"F"	"55-64 years"	"55-64"	"2001"	"2001"	74116	10148279	730.3
	"White"	"2106-3"	"Female"	"F"	"55-64 years"	"55-64"	"2002"	"2002"	76308	10779132	707.9
	"White"	"2106-3"	"Female"	"F"	"55-64 years"	"55-64"	"2003"	"2003"	79215	11256350	703.7
	"White"	"2106-3"	"Female"	"F"	"55-64 years"	"55-64"	"2004"	"2004"	79671	11714590	680.1
	"White"	"2106-3"	"Female"	"F"	"55-64 years"	"55-64"	"2005"	"2005"	81849	12166744	672.7
	"White"	"2106-3"	"Female"	"F"	"55-64 years"	"55-64"	"2006"	"2006"	83539	12603185	662.8
	"White"	"2106-3"	"Female"	"F"	"55-64 years"	"55-64"	"2007"	"2007"	83899	12996990	645.5
	"White"	"2106-3"	"Female"	"F"	"55-64 years"	"55-64"	"2008"	"2008"	85965	13302890	646.2
	"White"	"2106-3"	"Female"	"F"	"55-64 years"	"55-64"	"2009"	"2009"	87500	13703966	638.5
	"White"	"2106-3"	"Female"	"F"	"55-64 years"	"55-64"	"2010"	"2010"	88713	14048907	631.5
	"White"	"2106-3"	"Female"	"F"	"55-64 years"	"55-64"	"2011"	"2011"	92461	14556671	635.2
	"White"	"2106-3"	"Female"	"F"	"55-64 years"	"55-64"	"2012"	"2012"	92956	14617549	635.9
	"White"	"2106-3"	"Female"	"F"	"55-64 years"	"55-64"	"2013"	"2013"	94696	14785356	640.5
	"White"	"2106-3"	"Female"	"F"	"55-64 years"	"55-64"	"2014"	"2014"	97618	14938113	653.5
	"White"	"2106-3"	"Female"	"F"	"55-64 years"	"55-64"	"2015"	"2015"	99889	15112545	661.0
	"White"	"2106-3"	"Female"	"F"	"55-64 years"	"55-64"	"2016"	"2016"	102180	15245257	670.2
	"White"	"2106-3"	"Female"	"F"	"55-64 years"	"55-64"	"2017"	"2017"	103701	15297058	677.9
	"White"	"2106-3"	"Female"	"F"	"55-64 years"	"55-64"	"2018"	"2018"	102984	15277067	674.1
	"White"	"2106-3"	"Female"	"F"	"55-64 years"	"55-64"	"2019"	"2019"	103053	15207110	677.7
	"White"	"2106-3"	"Female"	"F"	"55-64 years"	"55-64"	"2020 "	"2020"	112325	15054888	746.1
